# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 15.0.0 Build 145 04/22/2015 SJ Full Version
# File: /home/daliang3/Desktop/lab1/lab1.csv
# Generated on: Thu May  3 08:07:33 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
HPS_DDR3_ADDR[9],Output,,,,PIN_G26,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[8],Output,,,,PIN_H27,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[7],Output,,,,PIN_E28,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[6],Output,,,,PIN_F29,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[5],Output,,,,PIN_J27,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[4],Output,,,,PIN_J25,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[3],Output,,,,PIN_F30,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[2],Output,,,,PIN_F28,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[1],Output,,,,PIN_G30,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_ADDR[0],Output,,,,PIN_F26,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_BA[2],Output,,,,PIN_J23,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_BA[1],Output,,,,PIN_J24,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_BA[0],Output,,,,PIN_E29,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_CAS_N,Output,,,,PIN_E27,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_CKE,Output,,,,PIN_L29,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_CK_N,Output,,,,PIN_L23,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_P,,,,,,,,,
HPS_DDR3_CK_P,Output,,,,PIN_M23,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_N,,,,,,,,,
HPS_DDR3_CS_N,Output,,,,PIN_H24,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_DM[3],Output,,,,PIN_H15,,,,,,,,,,,,,,
HPS_DDR3_DM[2],Output,,,,PIN_B12,,,,,,,,,,,,,,
HPS_DDR3_DM[1],Output,,,,PIN_AD24,,,,,,,,,,,,,,
HPS_DDR3_DM[0],Output,,,,PIN_K28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[31],Bidir,,,,PIN_A13,,,,,,,,,,,,,,
HPS_DDR3_DQ[30],Bidir,,,,PIN_D12,,,,,,,,,,,,,,
HPS_DDR3_DQ[29],Bidir,,,,PIN_AH25,,,,,,,,,,,,,,
HPS_DDR3_DQ[28],Bidir,,,,PIN_J14,,,,,,,,,,,,,,
HPS_DDR3_DQ[27],Bidir,,,,PIN_K14,,,,,,,,,,,,,,
HPS_DDR3_DQ[26],Bidir,,,,PIN_B7,,,,,,,,,,,,,,
HPS_DDR3_DQ[25],Bidir,,,,PIN_J7,,,,,,,,,,,,,,
HPS_DDR3_DQ[24],Bidir,,,,PIN_AD21,,,,,,,,,,,,,,
HPS_DDR3_DQ[23],Bidir,,,,PIN_AH23,,,,,,,,,,,,,,
HPS_DDR3_DQ[22],Bidir,,,,PIN_AK27,,,,,,,,,,,,,,
HPS_DDR3_DQ[21],Bidir,,,,PIN_AC22,,,,,,,,,,,,,,
HPS_DDR3_DQ[20],Bidir,,,,PIN_AA13,,,,,,,,,,,,,,
HPS_DDR3_DQ[19],Bidir,,,,PIN_F9,,,,,,,,,,,,,,
HPS_DDR3_DQ[18],Bidir,,,,PIN_B6,,,,,,,,,,,,,,
HPS_DDR3_DQ[17],Bidir,,,,PIN_AJ27,,,,,,,,,,,,,,
HPS_DDR3_DQ[16],Bidir,,,,PIN_AF25,,,,,,,,,,,,,,
HPS_DDR3_DQ[15],Bidir,,,,PIN_AD19,,,,,,,,,,,,,,
HPS_DDR3_DQ[14],Bidir,,,,PIN_AC23,,,,,,,,,,,,,,
HPS_DDR3_DQ[13],Bidir,,,,PIN_AH2,,,,,,,,,,,,,,
HPS_DDR3_DQ[12],Bidir,,,,PIN_C7,,,,,,,,,,,,,,
HPS_DDR3_DQ[11],Bidir,,,,PIN_E6,,,,,,,,,,,,,,
HPS_DDR3_DQ[10],Bidir,,,,PIN_AB21,,,,,,,,,,,,,,
HPS_DDR3_DQ[9],Bidir,,,,PIN_AF21,,,,,,,,,,,,,,
HPS_DDR3_DQ[8],Bidir,,,,PIN_AG6,,,,,,,,,,,,,,
HPS_DDR3_DQ[7],Bidir,,,,PIN_J29,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[6],Bidir,,,,PIN_J30,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[5],Bidir,,,,PIN_L24,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[4],Bidir,,,,PIN_L25,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[3],Bidir,,,,PIN_G28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[2],Bidir,,,,PIN_H30,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[1],Bidir,,,,PIN_K22,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[0],Bidir,,,,PIN_K23,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQS_N[3],Bidir,,,,PIN_AG20,,,,,,,,,,,,,,
HPS_DDR3_DQS_N[2],Bidir,,,,PIN_F8,,,,,,,,,,,,,,
HPS_DDR3_DQS_N[1],Bidir,,,,PIN_AK3,,,,,,,,,,,,,,
HPS_DDR3_DQS_N[0],Bidir,,,,PIN_M19,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[0],,,,,,,,,
HPS_DDR3_DQS_P[3],Bidir,,,,PIN_AG17,,,,,,,,,,,,,,
HPS_DDR3_DQS_P[2],Bidir,,,,PIN_AE24,,,,,,,,,,,,,,
HPS_DDR3_DQS_P[1],Bidir,,,,PIN_AA21,,,,,,,,,,,,,,
HPS_DDR3_DQS_P[0],Bidir,,,,PIN_N18,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[0],,,,,,,,,
HPS_DDR3_ODT,Output,,,,PIN_H28,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_RAS_N,Output,,,,PIN_D30,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_RESET_N,Output,,,,PIN_P30,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
HPS_DDR3_RZQ,Input,,,,PIN_D27,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_WE_N,Output,,,,PIN_C28,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,
KEY[3],Input,PIN_Y16,3B,B3B_N0,PIN_Y16,2.5 V,,,,,,,,,,,,,
KEY[2],Input,PIN_W15,3B,B3B_N0,PIN_W15,2.5 V,,,,,,,,,,,,,
KEY[1],Input,PIN_AA15,3B,B3B_N0,PIN_AA15,2.5 V,,,,,,,,,,,,,
KEY[0],Input,PIN_AA14,3B,B3B_N0,PIN_AA14,2.5 V,,,,,,,,,,,,,
LEDR[9],Output,PIN_Y21,5A,B5A_N0,PIN_Y21,2.5 V,,,,,,,,,,,,,
LEDR[8],Output,PIN_W21,5A,B5A_N0,PIN_W21,2.5 V,,,,,,,,,,,,,
LEDR[7],Output,PIN_W20,5A,B5A_N0,PIN_W20,2.5 V,,,,,,,,,,,,,
LEDR[6],Output,PIN_Y19,4A,B4A_N0,PIN_Y19,2.5 V,,,,,,,,,,,,,
LEDR[5],Output,PIN_W19,4A,B4A_N0,PIN_W19,2.5 V,,,,,,,,,,,,,
LEDR[4],Output,PIN_W17,4A,B4A_N0,PIN_W17,2.5 V,,,,,,,,,,,,,
LEDR[3],Output,PIN_V18,4A,B4A_N0,PIN_V18,2.5 V,,,,,,,,,,,,,
LEDR[2],Output,PIN_V17,4A,B4A_N0,PIN_V17,2.5 V,,,,,,,,,,,,,
LEDR[1],Output,PIN_W16,4A,B4A_N0,PIN_W16,2.5 V,,,,,,,,,,,,,
LEDR[0],Output,PIN_V16,4A,B4A_N0,PIN_V16,2.5 V,,,,,,,,,,,,,
SW[9],Input,PIN_AE12,3A,B3A_N0,PIN_AE12,2.5 V,,,,,,,,,,,,,
SW[8],Input,PIN_AD10,3A,B3A_N0,PIN_AD10,2.5 V,,,,,,,,,,,,,
SW[7],Input,PIN_AC9,3A,B3A_N0,PIN_AC9,2.5 V,,,,,,,,,,,,,
SW[6],Input,PIN_AE11,3A,B3A_N0,PIN_AE11,2.5 V,,,,,,,,,,,,,
SW[5],Input,PIN_AD12,3A,B3A_N0,PIN_AD12,2.5 V,,,,,,,,,,,,,
SW[4],Input,PIN_AD11,3A,B3A_N0,PIN_AD11,2.5 V,,,,,,,,,,,,,
SW[3],Input,PIN_AF10,3A,B3A_N0,PIN_AF10,2.5 V,,,,,,,,,,,,,
SW[2],Input,PIN_AF9,3A,B3A_N0,PIN_AF9,2.5 V,,,,,,,,,,,,,
SW[1],Input,PIN_AC12,3A,B3A_N0,PIN_AC12,2.5 V,,,,,,,,,,,,,
SW[0],Input,PIN_AB12,3A,B3A_N0,PIN_AB12,2.5 V,,,,,,,,,,,,,
altera_reserved_tck,Input,,,,PIN_AC5,,,,,,,,,,,,,,
altera_reserved_tdi,Input,,,,PIN_U8,,,,,,,,,,,,,,
altera_reserved_tdo,Output,,,,PIN_AB9,,,,,,,,,,,,,,
altera_reserved_tms,Input,,,,PIN_V9,,,,,,,,,,,,,,
ADC_CS_N,Unknown,PIN_AJ4,3B,B3B_N0,,,,,,,,,,,,,,,
ADC_DIN,Unknown,PIN_AK4,3B,B3B_N0,,,,,,,,,,,,,,,
ADC_DOUT,Unknown,PIN_AK3,3B,B3B_N0,,,,,,,,,,,,,,,
ADC_SCLK,Unknown,PIN_AK2,3B,B3B_N0,,,,,,,,,,,,,,,
AUD_ADCDAT,Unknown,PIN_K7,8A,B8A_N0,,,,,,,,,,,,,,,
AUD_ADCLRCK,Unknown,PIN_K8,8A,B8A_N0,,,,,,,,,,,,,,,
AUD_BCLK,Unknown,PIN_H7,8A,B8A_N0,,,,,,,,,,,,,,,
AUD_DACDAT,Unknown,PIN_J7,8A,B8A_N0,,,,,,,,,,,,,,,
AUD_DACLRCK,Unknown,PIN_H8,8A,B8A_N0,,,,,,,,,,,,,,,
AUD_XCK,Unknown,PIN_G7,8A,B8A_N0,,,,,,,,,,,,,,,
CLOCK2_50,Unknown,PIN_AA16,4A,B4A_N0,,,,,,,,,,,,,,,
CLOCK3_50,Unknown,PIN_Y26,5B,B5B_N0,,,,,,,,,,,,,,,
CLOCK4_50,Unknown,PIN_K14,8A,B8A_N0,,,,,,,,,,,,,,,
DRAM_ADDR[0],Unknown,PIN_AK14,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_ADDR[1],Unknown,PIN_AH14,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_ADDR[2],Unknown,PIN_AG15,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_ADDR[3],Unknown,PIN_AE14,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_ADDR[4],Unknown,PIN_AB15,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_ADDR[5],Unknown,PIN_AC14,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_ADDR[6],Unknown,PIN_AD14,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_ADDR[7],Unknown,PIN_AF15,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_ADDR[8],Unknown,PIN_AH15,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_ADDR[9],Unknown,PIN_AG13,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_ADDR[10],Unknown,PIN_AG12,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_ADDR[11],Unknown,PIN_AH13,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_ADDR[12],Unknown,PIN_AJ14,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_BA[0],Unknown,PIN_AF13,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_BA[1],Unknown,PIN_AJ12,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_CAS_N,Unknown,PIN_AF11,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_CKE,Unknown,PIN_AK13,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_CLK,Unknown,PIN_AH12,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_CS_N,Unknown,PIN_AG11,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_DQ[0],Unknown,PIN_AK6,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_DQ[1],Unknown,PIN_AJ7,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_DQ[2],Unknown,PIN_AK7,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_DQ[3],Unknown,PIN_AK8,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_DQ[4],Unknown,PIN_AK9,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_DQ[5],Unknown,PIN_AG10,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_DQ[6],Unknown,PIN_AK11,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_DQ[7],Unknown,PIN_AJ11,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_DQ[8],Unknown,PIN_AH10,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_DQ[9],Unknown,PIN_AJ10,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_DQ[10],Unknown,PIN_AJ9,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_DQ[11],Unknown,PIN_AH9,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_DQ[12],Unknown,PIN_AH8,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_DQ[13],Unknown,PIN_AH7,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_DQ[14],Unknown,PIN_AJ6,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_DQ[15],Unknown,PIN_AJ5,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_LDQM,Unknown,PIN_AB13,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_RAS_N,Unknown,PIN_AE13,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_UDQM,Unknown,PIN_AK12,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_WE_N,Unknown,PIN_AA13,3B,B3B_N0,,,,,,,,,,,,,,,
FAN_CTRL,Unknown,PIN_AA12,3A,B3A_N0,,,,,,,,,,,,,,,
FPGA_I2C_SCLK,Unknown,PIN_J12,8A,B8A_N0,,,,,,,,,,,,,,,
FPGA_I2C_SDAT,Unknown,PIN_K12,8A,B8A_N0,,,,,,,,,,,,,,,
GPIO_0[0],Unknown,PIN_AC18,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[10],Unknown,PIN_AH18,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[11],Unknown,PIN_AH17,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[12],Unknown,PIN_AG16,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[13],Unknown,PIN_AE16,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[14],Unknown,PIN_AF16,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[15],Unknown,PIN_AG17,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[16],Unknown,PIN_AA18,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[17],Unknown,PIN_AA19,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[18],Unknown,PIN_AE17,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[19],Unknown,PIN_AC20,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[1],Unknown,PIN_Y17,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[20],Unknown,PIN_AH19,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[21],Unknown,PIN_AJ20,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[22],Unknown,PIN_AH20,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[23],Unknown,PIN_AK21,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[24],Unknown,PIN_AD19,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[25],Unknown,PIN_AD20,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[26],Unknown,PIN_AE18,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[27],Unknown,PIN_AE19,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[28],Unknown,PIN_AF20,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[29],Unknown,PIN_AF21,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[2],Unknown,PIN_AD17,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[30],Unknown,PIN_AF19,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[31],Unknown,PIN_AG21,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[32],Unknown,PIN_AF18,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[33],Unknown,PIN_AG20,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[34],Unknown,PIN_AG18,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[35],Unknown,PIN_AJ21,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[3],Unknown,PIN_Y18,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[4],Unknown,PIN_AK16,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[5],Unknown,PIN_AK18,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[6],Unknown,PIN_AK19,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[7],Unknown,PIN_AJ19,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[8],Unknown,PIN_AJ17,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_0[9],Unknown,PIN_AJ16,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[0],Unknown,PIN_AB17,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[10],Unknown,PIN_AG26,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[11],Unknown,PIN_AH24,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[12],Unknown,PIN_AH27,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[13],Unknown,PIN_AJ27,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[14],Unknown,PIN_AK29,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[15],Unknown,PIN_AK28,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[16],Unknown,PIN_AK27,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[17],Unknown,PIN_AJ26,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[18],Unknown,PIN_AK26,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[19],Unknown,PIN_AH25,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[1],Unknown,PIN_AA21,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[20],Unknown,PIN_AJ25,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[21],Unknown,PIN_AJ24,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[22],Unknown,PIN_AK24,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[23],Unknown,PIN_AG23,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[24],Unknown,PIN_AK23,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[25],Unknown,PIN_AH23,4A,B4A_N0,,,,,,,,,,,,,,,
